triplesID,Type,Start_entity,End_entity,start_entity_Labels,end_entity_Labels,start_entity_id,start_entity_id
22,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 11′ 29″ N, 6° 08′ 38″ E 10",Document,__Entity__,13,22
23,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 12′ 55″ N, 6° 07′ 24″ E 10",Document,__Entity__,13,23
24,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 48″ N, 6° 04′ 04″ E 10",Document,__Entity__,13,24
25,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 45″ N, 6° 04′ 17″ E 10",Document,__Entity__,13,25
26,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 14′ 01″ N, 6° 03′ 19″ E 10",Document,__Entity__,13,26
27,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,5 h,Document,__Entity__,13,27
28,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 06″ N, 6° 06′ 40″ E 10",Document,__Entity__,13,28
29,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 38″ N, 6° 04′ 42″ E 10",Document,__Entity__,13,29
30,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 13′ 20″ N, 6° 05′ 47″ E 10",Document,__Entity__,13,30
31,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,"46° 12′ 48″ N, 6° 07′ 49″ E 10",Document,__Entity__,13,31
32,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,1 h 40,Document,__Entity__,13,32
33,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,TAD du Pays de Gex - Ligne « Express »,Document,__Entity__,13,33
34,MENTIONS,b57e1f95aeff8828f4bafadad5bf4bf9,Meyrin,Document,__Entity__,13,299
35,SERVED_BY,"46° 13′ 11″ N, 6° 06′ 21″ E 10",Vernier Tramway,__Entity__,__Entity__,14,21
36,SERVED_BY,"46° 13′ 33″ N, 6° 04′ 59″ E 10",Meyrin Tramway,__Entity__,__Entity__,15,19
37,SERVED_BY,"46° 13′ 57″ N, 6° 03′ 32″ E 10",Meyrin,__Entity__,__Entity__,16,299
38,HAS_DEPARTURE_TIME,1 h,TAD du Pays de Gex - Ligne « Express »,__Entity__,__Entity__,17,33
39,SERVED_BY,6° 08′ 04″ E 10,Genève Tramway,__Entity__,__Entity__,18,20
40,SERVED_BY,"46° 11′ 29″ N, 6° 08′ 38″ E 10",Genève Tramway,__Entity__,__Entity__,22,20
41,SERVED_BY,"46° 12′ 55″ N, 6° 07′ 24″ E 10",Genève Tramway,__Entity__,__Entity__,23,20
42,SERVED_BY,"46° 13′ 48″ N, 6° 04′ 04″ E 10",Meyrin,__Entity__,__Entity__,24,299
43,SERVED_BY,"46° 13′ 45″ N, 6° 04′ 17″ E 10",Meyrin,__Entity__,__Entity__,25,299
44,SERVED_BY,"46° 14′ 01″ N, 6° 03′ 19″ E 10",Meyrin,__Entity__,__Entity__,26,299
45,HAS_DEPARTURE_TIME,5 h,TAD du Pays de Gex - Ligne « Express »,__Entity__,__Entity__,27,33
46,SERVED_BY,"46° 13′ 06″ N, 6° 06′ 40″ E 10",Vernier Tramway,__Entity__,__Entity__,28,21
47,SERVED_BY,"46° 13′ 38″ N, 6° 04′ 42″ E 10",Meyrin Tramway,__Entity__,__Entity__,29,19
48,SERVED_BY,"46° 13′ 20″ N, 6° 05′ 47″ E 10",Vernier Tramway,__Entity__,__Entity__,30,21
49,SERVED_BY,"46° 12′ 48″ N, 6° 07′ 49″ E 10",Genève Tramway,__Entity__,__Entity__,31,20
50,HAS_DEPARTURE_TIME,1 h 40,TAD du Pays de Gex - Ligne « Express »,__Entity__,__Entity__,32,33
51,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,Saint-Genis-Pouilly,Document,__Entity__,34,35
52,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,Line 10,Document,__Entity__,34,36
53,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,"Genève, Augustins",Document,__Entity__,34,37
54,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,"Meyrin, CERN",Document,__Entity__,34,245
55,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,"Grand-Lancy, Palettes",Document,__Entity__,34,249
56,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,"Meyrin, Gravière",Document,__Entity__,34,264
57,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,Stadler Tango,Document,__Entity__,34,560
58,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,Bombardier Cityrunner,Document,__Entity__,34,571
59,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,TPG,Document,__Entity__,34,619
60,MENTIONS,1507120f63c59a72ee8616b7ec3346a3,Zone 10,Document,__Entity__,34,928
61,LOCATED_IN,Line 10,Zone 10,__Entity__,__Entity__,36,928
62,OPERATED_BY,Line 10,TPG,__Entity__,__Entity__,36,619
63,EXTENSION_PLANNED,Line 10,Saint-Genis-Pouilly,__Entity__,__Entity__,36,35
64,MENTIONS,092aeaa5697f1c308f11756be193817d,Saint-Genis-Pouilly,Document,__Entity__,38,35
65,MENTIONS,092aeaa5697f1c308f11756be193817d,"17,72 millions d'euros",Document,__Entity__,38,39
66,MENTIONS,092aeaa5697f1c308f11756be193817d,route de l'Europe,Document,__Entity__,38,40
67,MENTIONS,092aeaa5697f1c308f11756be193817d,mise en service,Document,__Entity__,38,41
68,MENTIONS,092aeaa5697f1c308f11756be193817d,Porte-de-France,Document,__Entity__,38,42
69,MENTIONS,092aeaa5697f1c308f11756be193817d,21 septembre 2018,Document,__Entity__,38,43
70,MENTIONS,092aeaa5697f1c308f11756be193817d,15 à 17 millions d'euros,Document,__Entity__,38,44
71,MENTIONS,092aeaa5697f1c308f11756be193817d,abandon,Document,__Entity__,38,45
72,MENTIONS,092aeaa5697f1c308f11756be193817d,non-financement,Document,__Entity__,38,46
73,MENTIONS,092aeaa5697f1c308f11756be193817d,43 millions,Document,__Entity__,38,47
74,MENTIONS,092aeaa5697f1c308f11756be193817d,giratoire de la Porte-de-France,Document,__Entity__,38,48
75,MENTIONS,092aeaa5697f1c308f11756be193817d,première tranche des travaux,Document,__Entity__,38,49
76,MENTIONS,092aeaa5697f1c308f11756be193817d,"28,6 millions de francs suisses",Document,__Entity__,38,50
77,MENTIONS,092aeaa5697f1c308f11756be193817d,26 millions d'euros,Document,__Entity__,38,51
78,MENTIONS,092aeaa5697f1c308f11756be193817d,terminus actuel du CERN,Document,__Entity__,38,52
79,MENTIONS,092aeaa5697f1c308f11756be193817d,Bois de Serves,Document,__Entity__,38,53
80,MENTIONS,092aeaa5697f1c308f11756be193817d,projet,Document,__Entity__,38,54
81,MENTIONS,092aeaa5697f1c308f11756be193817d,coût,Document,__Entity__,38,55
82,MENTIONS,092aeaa5697f1c308f11756be193817d,problèmes de financement,Document,__Entity__,38,56
83,MENTIONS,092aeaa5697f1c308f11756be193817d,mairie de Saint-Genis,Document,__Entity__,38,57
84,MENTIONS,092aeaa5697f1c308f11756be193817d,2 km,Document,__Entity__,38,58
85,MENTIONS,092aeaa5697f1c308f11756be193817d,bus à haut niveau de service,Document,__Entity__,38,59
86,MENTIONS,092aeaa5697f1c308f11756be193817d,chantier,Document,__Entity__,38,60
87,MENTIONS,092aeaa5697f1c308f11756be193817d,"21,7 millions de francs",Document,__Entity__,38,61
88,MENTIONS,092aeaa5697f1c308f11756be193817d,ligne 18,Document,__Entity__,38,513
89,MENTIONS,092aeaa5697f1c308f11756be193817d,Suisse,Document,__Entity__,38,638
90,MENTIONS,092aeaa5697f1c308f11756be193817d,France,Document,__Entity__,38,654
91,MENTIONS,092aeaa5697f1c308f11756be193817d,2022,Document,__Entity__,38,931
92,MENTIONS,092aeaa5697f1c308f11756be193817d,2021,Document,__Entity__,38,951
93,MENTIONS,092aeaa5697f1c308f11756be193817d,2019,Document,__Entity__,38,952
94,MENTIONS,092aeaa5697f1c308f11756be193817d,extension,Document,__Entity__,38,1001
95,MENTIONS,092aeaa5697f1c308f11756be193817d,Confédération,Document,__Entity__,38,1006
96,MENTIONS,092aeaa5697f1c308f11756be193817d,canton de Genève,Document,__Entity__,38,1110
97,MENTIONS,092aeaa5697f1c308f11756be193817d,2020,Document,__Entity__,38,1122
98,SCHEDULED_FOR,mise en service,2021,__Entity__,__Entity__,41,951
99,LOCATED_IN,Porte-de-France,France,__Entity__,__Entity__,42,654
100,CAUSED_BY,abandon,Confédération,__Entity__,__Entity__,45,1006
101,ANNOUNCED_BY,non-financement,Confédération,__Entity__,__Entity__,46,1006
102,SCHEDULED_FOR,première tranche des travaux,2022,__Entity__,__Entity__,49,931
103,SCHEDULED_FOR,première tranche des travaux,2019,__Entity__,__Entity__,49,952
104,LOCATED_AT,terminus actuel du CERN,Porte-de-France,__Entity__,__Entity__,52,42
105,LOCATED_ON,Bois de Serves,route de l'Europe,__Entity__,__Entity__,53,40
106,LOCATED_BEFORE,Bois de Serves,giratoire de la Porte-de-France,__Entity__,__Entity__,53,48
107,REPLACED_BY,projet,bus à haut niveau de service,__Entity__,__Entity__,54,59
108,CANCELLED_ON,projet,21 septembre 2018,__Entity__,__Entity__,54,43
109,HAS_VALUE,coût,"17,72 millions d'euros",__Entity__,__Entity__,55,39
110,HAS_VALUE,coût,15 à 17 millions d'euros,__Entity__,__Entity__,55,44
111,HAS_VALUE,coût,43 millions,__Entity__,__Entity__,55,47
112,HAS_VALUE,coût,"28,6 millions de francs suisses",__Entity__,__Entity__,55,50
113,HAS_VALUE,coût,26 millions d'euros,__Entity__,__Entity__,55,51
114,HAS_VALUE,coût,"21,7 millions de francs",__Entity__,__Entity__,55,61
115,IS_ESTIMATED_TO_BE,coût,environ 600’000 euros,__Entity__,__Entity__,55,94
116,CAUSED_BY,problèmes de financement,Suisse,__Entity__,__Entity__,56,638
117,CONNECTS,bus à haut niveau de service,Saint-Genis-Pouilly,__Entity__,__Entity__,59,35
118,CONNECTS,bus à haut niveau de service,ligne 18,__Entity__,__Entity__,59,513
119,HAS_LENGTH,bus à haut niveau de service,2 km,__Entity__,__Entity__,59,58
120,SCHEDULED_FOR,chantier,2020,__Entity__,__Entity__,60,1122
121,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,gestion des parc relais,Document,__Entity__,63,64
122,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,Unireso,Document,__Entity__,63,563
123,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,Fondation des Parkings,Document,__Entity__,63,574
124,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,Lémanis,Document,__Entity__,63,639
125,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,SNCF,Document,__Entity__,63,658
126,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,Léman Pass,Document,__Entity__,63,1026
127,MENTIONS,5b6d341245b1345ba9d5f7ec4899e0e9,Société nationale des chemins de fer français,Document,__Entity__,63,1030
128,MENTIONS,34e8cfc4f4a5686041982def87331b41,Mobilités,Document,__Entity__,65,66
129,MENTIONS,34e8cfc4f4a5686041982def87331b41,Gain de cause,Document,__Entity__,65,67
130,MENTIONS,34e8cfc4f4a5686041982def87331b41,Tram 15,Document,__Entity__,65,68
131,MENTIONS,34e8cfc4f4a5686041982def87331b41,Benoît Pavageau,Document,__Entity__,65,69
132,MENTIONS,34e8cfc4f4a5686041982def87331b41,Huit procédures d'opposition,Document,__Entity__,65,70
133,MENTIONS,34e8cfc4f4a5686041982def87331b41,France voisine,Document,__Entity__,65,71
134,MENTIONS,34e8cfc4f4a5686041982def87331b41,Maudet,Document,__Entity__,65,72
135,MENTIONS,34e8cfc4f4a5686041982def87331b41,Saint-Julien-en-Genevois (F),Document,__Entity__,65,73
136,MENTIONS,34e8cfc4f4a5686041982def87331b41,Pierre Maudet,Document,__Entity__,65,74
137,MENTIONS,34e8cfc4f4a5686041982def87331b41,Craintes des frontaliers,Document,__Entity__,65,75
138,MENTIONS,34e8cfc4f4a5686041982def87331b41,Travaux,Document,__Entity__,65,76
139,MENTIONS,34e8cfc4f4a5686041982def87331b41,Office cantonal des transports,Document,__Entity__,65,77
140,MENTIONS,34e8cfc4f4a5686041982def87331b41,Tribunal fédéral,Document,__Entity__,65,78
141,MENTIONS,34e8cfc4f4a5686041982def87331b41,Zone industrielle de Plan-les-Ouates (Ziplo),Document,__Entity__,65,79
142,MENTIONS,34e8cfc4f4a5686041982def87331b41,Commerçants,Document,__Entity__,65,80
143,MENTIONS,34e8cfc4f4a5686041982def87331b41,17 riverains,Document,__Entity__,65,81
144,MENTIONS,34e8cfc4f4a5686041982def87331b41,2025/2026,Document,__Entity__,65,82
145,MENTIONS,34e8cfc4f4a5686041982def87331b41,Salle L’Arande,Document,__Entity__,65,83
146,MENTIONS,34e8cfc4f4a5686041982def87331b41,Recours,Document,__Entity__,65,84
147,MENTIONS,34e8cfc4f4a5686041982def87331b41,Extension du tram 15,Document,__Entity__,65,85
148,MENTIONS,34e8cfc4f4a5686041982def87331b41,Transports collectifs,Document,__Entity__,65,86
149,MENTIONS,34e8cfc4f4a5686041982def87331b41,Saint-Julien-en-Genevois,Document,__Entity__,65,680
150,MENTIONS,34e8cfc4f4a5686041982def87331b41,Perly,Document,__Entity__,65,728
151,MENTIONS,34e8cfc4f4a5686041982def87331b41,Canton,Document,__Entity__,65,950
152,HAS_EXTENSION,Tram 15,France voisine,__Entity__,__Entity__,68,71
153,HAS_EXTENSION,Tram 15,Saint-Julien-en-Genevois (F),__Entity__,__Entity__,68,73
154,HAS_EXTENSION,Tram 15,Extension du tram 15,__Entity__,__Entity__,68,85
155,HAS_EXTENSION,Tram 15,Lancy et Plan-les-Ouates,__Entity__,__Entity__,68,99
156,HAS_DESTINATION,Tram 15,Grand-Saconnex,__Entity__,__Entity__,68,1471
157,CIRCULATES_IN,Tram 15,Zone industrielle de Plan-les-Ouates (Ziplo),__Entity__,__Entity__,68,79
158,IS_BLOCKED_BY,Tram 15,Huit procédures d'opposition,__Entity__,__Entity__,68,70
159,CONNECTS_TO,Tram 15,Centre-ville de Genève,__Entity__,__Entity__,68,97
160,CONNECTS_TO,Tram 15,Gare de Lancy-Pont-Rouge,__Entity__,__Entity__,68,718
161,CONNECTS_TO,Tram 15,Léman Express,__Entity__,__Entity__,68,1162
162,HAS_DEPARTURE_DATE,Tram 15,fin 2022,__Entity__,__Entity__,68,1593
163,HAS_SERVICE_START_DATE,Tram 15,fin 2024,__Entity__,__Entity__,68,1598
164,IS_PART_OF,Benoît Pavageau,Office cantonal des transports,__Entity__,__Entity__,69,77
165,IS_DIRECTOR_OF,Benoît Pavageau,Transports collectifs,__Entity__,__Entity__,69,86
166,RESPONDS_TO,Maudet,Craintes des frontaliers,__Entity__,__Entity__,72,75
167,IS_IN_CHARGE_OF,Maudet,Mobilités,__Entity__,__Entity__,72,66
168,LOCATED_IN,Pierre Maudet,Lancy,__Entity__,__Entity__,74,493
169,INAUGURATED,Pierre Maudet,ligne 15,__Entity__,__Entity__,74,342
170,IS_IN_CHARGE_OF,Pierre Maudet,Mobilités,__Entity__,__Entity__,74,66
171,HAS_STATED,Pierre Maudet,Recours au Tribunal fédéral n'est pas exclu,__Entity__,__Entity__,74,91
172,HAS_STATED,Pierre Maudet,mise en service à l’horizon 2029,__Entity__,__Entity__,74,95
173,WORKS_FOR,Pierre Maudet,Conseil d’État,__Entity__,__Entity__,74,111
174,HAS_TITLE,Pierre Maudet,ministre des mobilités,__Entity__,__Entity__,74,107
175,SURROUNDED_BY,Pierre Maudet,"l’ensemble des représentants des autorités communales de Lancy, Confignon Plan-Les-Ouates",__Entity__,__Entity__,74,108
176,HAS_DURATION,Travaux,1 mois,__Entity__,__Entity__,76,430
177,HAS_START_DATE,Travaux,2025/2026,__Entity__,__Entity__,76,82
178,HAS_GOAL,Travaux,raccorder de nouveaux abonnés,__Entity__,__Entity__,76,433
179,HAS_GOAL,Travaux,étendre le réseau de chaleur urbain,__Entity__,__Entity__,76,435
180,HAS_POSSIBLE_OUTCOME,Tribunal fédéral,Recours,__Entity__,__Entity__,78,84
181,HAS_DESTINATION,Extension du tram 15,ZIPLO,__Entity__,__Entity__,85,866
182,HAS_DESTINATION,Extension du tram 15,Cherpines,__Entity__,__Entity__,85,1357
183,HAS_DESTINATION,Extension du tram 15,Grand-Saconnex,__Entity__,__Entity__,85,1471
184,HAS_DESTINATION,Extension du tram 15,Perly – Saint-Julien-en-Genevois,__Entity__,__Entity__,85,1577
185,MENTIONS,ce860aaa4486151e598504f9197637a7,coût,Document,__Entity__,87,55
186,MENTIONS,ce860aaa4486151e598504f9197637a7,Pierre Maudet,Document,__Entity__,87,74
187,MENTIONS,ce860aaa4486151e598504f9197637a7,mesures provisoires,Document,__Entity__,87,88
188,MENTIONS,ce860aaa4486151e598504f9197637a7,recours,Document,__Entity__,87,89
189,MENTIONS,ce860aaa4486151e598504f9197637a7,remise en service d’espaces publics actuellement en travaux,Document,__Entity__,87,90
190,MENTIONS,ce860aaa4486151e598504f9197637a7,Recours au Tribunal fédéral n'est pas exclu,Document,__Entity__,87,91
191,MENTIONS,ce860aaa4486151e598504f9197637a7,autorités locales françaises,Document,__Entity__,87,92
192,MENTIONS,ce860aaa4486151e598504f9197637a7,gouvernement,Document,__Entity__,87,93
193,MENTIONS,ce860aaa4486151e598504f9197637a7,environ 600’000 euros,Document,__Entity__,87,94
194,MENTIONS,ce860aaa4486151e598504f9197637a7,mise en service à l’horizon 2029,Document,__Entity__,87,95
195,INCLUDES,mesures provisoires,remise en service d’espaces publics actuellement en travaux,__Entity__,__Entity__,88,90
196,CONDUCTED_BY,recours,commerçants,__Entity__,__Entity__,89,119
197,CONDUCTED_BY,recours,habitants,__Entity__,__Entity__,89,125
198,HAS_PLANNED,autorités locales françaises,mesures provisoires,__Entity__,__Entity__,92,88
199,HAS_NO_RESPONSIBILITY,gouvernement,recours,__Entity__,__Entity__,93,89
200,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Tram 15,Document,__Entity__,96,68
201,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Centre-ville de Genève,Document,__Entity__,96,97
202,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Campagne genevoise,Document,__Entity__,96,98
203,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Lancy et Plan-les-Ouates,Document,__Entity__,96,99
204,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Inauguration officielle de la ligne 15,Document,__Entity__,96,100
205,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Suppression d’une piste cyclable,Document,__Entity__,96,101
206,MENTIONS,ed95ac67a197815787e4e22f618d73a3,La Chapelle-Les Sciers,Document,__Entity__,96,102
207,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Lancyclopède,Document,__Entity__,96,103
208,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Damien Bonfanti,Document,__Entity__,96,104
209,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Bruno Strasser,Document,__Entity__,96,105
210,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Confignon,Document,__Entity__,96,292
211,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Lancy,Document,__Entity__,96,493
212,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Suisse,Document,__Entity__,96,638
213,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Plan-les-Ouates,Document,__Entity__,96,679
214,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Gare de Lancy-Pont-Rouge,Document,__Entity__,96,718
215,MENTIONS,ed95ac67a197815787e4e22f618d73a3,Léman Express,Document,__Entity__,96,1162
216,LOCATED_IN,Centre-ville de Genève,Suisse,__Entity__,__Entity__,97,638
217,CONNECTED_TO,Campagne genevoise,Centre-ville de Genève,__Entity__,__Entity__,98,97
218,SHARED_BY,La Chapelle-Les Sciers,Lancy,__Entity__,__Entity__,102,493
219,SHARED_BY,La Chapelle-Les Sciers,Plan-les-Ouates,__Entity__,__Entity__,102,679
220,EXPRESSES_DISCONTENT_ABOUT,Lancyclopède,Suppression d’une piste cyclable,__Entity__,__Entity__,103,101
221,GIVES_SPEECH_AT,Damien Bonfanti,Inauguration officielle de la ligne 15,__Entity__,__Entity__,104,100
222,IS_MEMBER_OF,Bruno Strasser,Lancyclopède,__Entity__,__Entity__,105,103
223,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Pierre Maudet,Document,__Entity__,106,74
224,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,ministre des mobilités,Document,__Entity__,106,107
225,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,"l’ensemble des représentants des autorités communales de Lancy, Confignon Plan-Les-Ouates",Document,__Entity__,106,108
226,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Plan-Les-Ouates,Document,__Entity__,106,109
227,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,réseau de six lignes de trams,Document,__Entity__,106,110
228,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Conseil d’État,Document,__Entity__,106,111
229,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Ferney,Document,__Entity__,106,112
230,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Maire,Document,__Entity__,106,113
231,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,zone industrielle,Document,__Entity__,106,114
232,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Week-end de l’Escalade,Document,__Entity__,106,115
233,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Ziplo,Document,__Entity__,106,116
234,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,ligne 15,Document,__Entity__,106,342
235,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Lancy,Document,__Entity__,106,493
236,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Plan-les-Ouates,Document,__Entity__,106,679
237,MENTIONS,f326d7871e4db3969c4ead5aaac97bf3,Saint-Julien,Document,__Entity__,106,971
238,PROPOSED_TO,Conseil d’État,Grand Conseil,__Entity__,__Entity__,111,1497
239,IS_PART_OF,Ziplo,Plan-Les-Ouates,__Entity__,__Entity__,116,109
240,IS_TERMINUS,Ziplo,ligne 15,__Entity__,__Entity__,116,342
241,MENTIONS,c083f22af209eda5d979c53a909e9db9,recours,Document,__Entity__,117,89
242,MENTIONS,c083f22af209eda5d979c53a909e9db9,zone industrielle,Document,__Entity__,117,114
243,MENTIONS,c083f22af209eda5d979c53a909e9db9,Maire de Plan-les-Ouates,Document,__Entity__,117,118
244,MENTIONS,c083f22af209eda5d979c53a909e9db9,commerçants,Document,__Entity__,117,119
245,MENTIONS,c083f22af209eda5d979c53a909e9db9,beaucoup d’écoles,Document,__Entity__,117,120
246,MENTIONS,c083f22af209eda5d979c53a909e9db9,tram 15,Document,__Entity__,117,121
247,MENTIONS,c083f22af209eda5d979c53a909e9db9,12 habitants,Document,__Entity__,117,122
248,MENTIONS,c083f22af209eda5d979c53a909e9db9,le ruban,Document,__Entity__,117,123
249,MENTIONS,c083f22af209eda5d979c53a909e9db9,14 000 employés,Document,__Entity__,117,124
250,MENTIONS,c083f22af209eda5d979c53a909e9db9,habitants,Document,__Entity__,117,125
251,MENTIONS,c083f22af209eda5d979c53a909e9db9,Fabienne Monbaron,Document,__Entity__,117,126
252,MENTIONS,c083f22af209eda5d979c53a909e9db9,Plan-les-Ouates,Document,__Entity__,117,679
253,MENTIONS,c083f22af209eda5d979c53a909e9db9,Perly,Document,__Entity__,117,728
254,MENTIONS,c083f22af209eda5d979c53a909e9db9,Saint-Julien,Document,__Entity__,117,971
255,RESIDES_IN,Maire de Plan-les-Ouates,Plan-les-Ouates,__Entity__,__Entity__,118,679
256,HAS_DESTINATION,tram 15,Saint-Julien,__Entity__,__Entity__,121,971
257,HAS_OBSTACLE,tram 15,recours,__Entity__,__Entity__,121,89
258,LOCATED_IN,le ruban,Plan-les-Ouates,__Entity__,__Entity__,123,679
259,RESIDES_IN,habitants,Perly,__Entity__,__Entity__,125,728
260,WORKS_FOR,Fabienne Monbaron,le ruban,__Entity__,__Entity__,126,123
261,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,SPL Territoire d’Innovation,Document,__Entity__,127,128
262,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Voiture,Document,__Entity__,127,129
263,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Tramway Nations – Grand-Saconnex,Document,__Entity__,127,130
264,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Carrefour du Bisou,Document,__Entity__,127,131
265,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Quartier Ferney-Genève Innovation,Document,__Entity__,127,132
266,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Pays de Gex agglo,Document,__Entity__,127,133
267,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Gare de Sécheron,Document,__Entity__,127,134
268,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,Pays de Gex,Document,__Entity__,127,135
269,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,BHNS,Document,__Entity__,127,136
270,MENTIONS,7d5d67092db4fe7f37e5338ffb5d4c99,60,Document,__Entity__,127,137
