triplesID,relationID,Type,Start_entity,End_entity,start_entity_Labels,end_entity_Labels,start_entity_id,end_entity_id
112,16,HAS_VALUE,coût,"28,6 millions de francs suisses",__Entity__,__Entity__,55,50
113,16,HAS_VALUE,coût,26 millions d'euros,__Entity__,__Entity__,55,51
114,16,HAS_VALUE,coût,"21,7 millions de francs",__Entity__,__Entity__,55,61
115,17,IS_ESTIMATED_TO_BE,coût,environ 600’000 euros,__Entity__,__Entity__,55,94
116,9,CAUSED_BY,problèmes de financement,Suisse,__Entity__,__Entity__,56,638
117,18,CONNECTS,bus à haut niveau de service,Saint-Genis-Pouilly,__Entity__,__Entity__,59,35
118,18,CONNECTS,bus à haut niveau de service,ligne 18,__Entity__,__Entity__,59,513
119,19,HAS_LENGTH,bus à haut niveau de service,2 km,__Entity__,__Entity__,59,58
120,8,SCHEDULED_FOR,chantier,2020,__Entity__,__Entity__,60,1122
152,20,HAS_EXTENSION,Tram 15,France voisine,__Entity__,__Entity__,68,71
153,20,HAS_EXTENSION,Tram 15,Saint-Julien-en-Genevois (F),__Entity__,__Entity__,68,73
154,20,HAS_EXTENSION,Tram 15,Extension du tram 15,__Entity__,__Entity__,68,85
155,20,HAS_EXTENSION,Tram 15,Lancy et Plan-les-Ouates,__Entity__,__Entity__,68,99
156,21,HAS_DESTINATION,Tram 15,Grand-Saconnex,__Entity__,__Entity__,68,1471
157,22,CIRCULATES_IN,Tram 15,Zone industrielle de Plan-les-Ouates (Ziplo),__Entity__,__Entity__,68,79
158,23,IS_BLOCKED_BY,Tram 15,Huit procédures d'opposition,__Entity__,__Entity__,68,70
159,24,CONNECTS_TO,Tram 15,Centre-ville de Genève,__Entity__,__Entity__,68,97
160,24,CONNECTS_TO,Tram 15,Gare de Lancy-Pont-Rouge,__Entity__,__Entity__,68,718
161,24,CONNECTS_TO,Tram 15,Léman Express,__Entity__,__Entity__,68,1162
162,25,HAS_DEPARTURE_DATE,Tram 15,fin 2022,__Entity__,__Entity__,68,1593
163,26,HAS_SERVICE_START_DATE,Tram 15,fin 2024,__Entity__,__Entity__,68,1598
164,27,IS_PART_OF,Benoît Pavageau,Office cantonal des transports,__Entity__,__Entity__,69,77
165,28,IS_DIRECTOR_OF,Benoît Pavageau,Transports collectifs,__Entity__,__Entity__,69,86
166,29,RESPONDS_TO,Maudet,Craintes des frontaliers,__Entity__,__Entity__,72,75
167,30,IS_IN_CHARGE_OF,Maudet,Mobilités,__Entity__,__Entity__,72,66
168,2,LOCATED_IN,Pierre Maudet,Lancy,__Entity__,__Entity__,74,493
169,31,INAUGURATED,Pierre Maudet,ligne 15,__Entity__,__Entity__,74,342
170,30,IS_IN_CHARGE_OF,Pierre Maudet,Mobilités,__Entity__,__Entity__,74,66
171,32,HAS_STATED,Pierre Maudet,Recours au Tribunal fédéral n'est pas exclu,__Entity__,__Entity__,74,91
172,32,HAS_STATED,Pierre Maudet,mise en service à l’horizon 2029,__Entity__,__Entity__,74,95
173,33,WORKS_FOR,Pierre Maudet,Conseil d’État,__Entity__,__Entity__,74,111
174,34,HAS_TITLE,Pierre Maudet,ministre des mobilités,__Entity__,__Entity__,74,107
175,35,SURROUNDED_BY,Pierre Maudet,"l’ensemble des représentants des autorités communales de Lancy, Confignon Plan-Les-Ouates",__Entity__,__Entity__,74,108
176,36,HAS_DURATION,Travaux,1 mois,__Entity__,__Entity__,76,430
177,37,HAS_START_DATE,Travaux,2025/2026,__Entity__,__Entity__,76,82
178,38,HAS_GOAL,Travaux,raccorder de nouveaux abonnés,__Entity__,__Entity__,76,433
179,38,HAS_GOAL,Travaux,étendre le réseau de chaleur urbain,__Entity__,__Entity__,76,435
180,39,HAS_POSSIBLE_OUTCOME,Tribunal fédéral,Recours,__Entity__,__Entity__,78,84
181,21,HAS_DESTINATION,Extension du tram 15,ZIPLO,__Entity__,__Entity__,85,866
182,21,HAS_DESTINATION,Extension du tram 15,Cherpines,__Entity__,__Entity__,85,1357
183,21,HAS_DESTINATION,Extension du tram 15,Grand-Saconnex,__Entity__,__Entity__,85,1471
184,21,HAS_DESTINATION,Extension du tram 15,Perly – Saint-Julien-en-Genevois,__Entity__,__Entity__,85,1577
195,40,INCLUDES,mesures provisoires,remise en service d’espaces publics actuellement en travaux,__Entity__,__Entity__,88,90
196,41,CONDUCTED_BY,recours,commerçants,__Entity__,__Entity__,89,119
197,41,CONDUCTED_BY,recours,habitants,__Entity__,__Entity__,89,125
198,42,HAS_PLANNED,autorités locales françaises,mesures provisoires,__Entity__,__Entity__,92,88
199,43,HAS_NO_RESPONSIBILITY,gouvernement,recours,__Entity__,__Entity__,93,89
216,2,LOCATED_IN,Centre-ville de Genève,Suisse,__Entity__,__Entity__,97,638
217,44,CONNECTED_TO,Campagne genevoise,Centre-ville de Genève,__Entity__,__Entity__,98,97
218,45,SHARED_BY,La Chapelle-Les Sciers,Lancy,__Entity__,__Entity__,102,493
219,45,SHARED_BY,La Chapelle-Les Sciers,Plan-les-Ouates,__Entity__,__Entity__,102,679
220,46,EXPRESSES_DISCONTENT_ABOUT,Lancyclopède,Suppression d’une piste cyclable,__Entity__,__Entity__,103,101
221,47,GIVES_SPEECH_AT,Damien Bonfanti,Inauguration officielle de la ligne 15,__Entity__,__Entity__,104,100
222,48,IS_MEMBER_OF,Bruno Strasser,Lancyclopède,__Entity__,__Entity__,105,103
238,49,PROPOSED_TO,Conseil d’État,Grand Conseil,__Entity__,__Entity__,111,1497
239,27,IS_PART_OF,Ziplo,Plan-Les-Ouates,__Entity__,__Entity__,116,109
240,50,IS_TERMINUS,Ziplo,ligne 15,__Entity__,__Entity__,116,342
255,51,RESIDES_IN,Maire de Plan-les-Ouates,Plan-les-Ouates,__Entity__,__Entity__,118,679
256,21,HAS_DESTINATION,tram 15,Saint-Julien,__Entity__,__Entity__,121,971
257,52,HAS_OBSTACLE,tram 15,recours,__Entity__,__Entity__,121,89
258,2,LOCATED_IN,le ruban,Plan-les-Ouates,__Entity__,__Entity__,123,679
259,51,RESIDES_IN,habitants,Perly,__Entity__,__Entity__,125,728
260,33,WORKS_FOR,Fabienne Monbaron,le ruban,__Entity__,__Entity__,126,123
275,2,LOCATED_IN,SPL Territoire d’Innovation,Pays de Gex agglo,__Entity__,__Entity__,128,133
276,2,LOCATED_IN,Tramway Nations – Grand-Saconnex,Quartier Ferney-Genève Innovation,__Entity__,__Entity__,130,132
277,2,LOCATED_IN,Tramway Nations – Grand-Saconnex,Genève,__Entity__,__Entity__,130,236
278,20,HAS_EXTENSION,Tramway Nations – Grand-Saconnex,Ferney-Voltaire,__Entity__,__Entity__,130,989
279,53,HAS_STATION,Tramway Nations – Grand-Saconnex,Carrefour du Bisou,__Entity__,__Entity__,130,131
280,54,HAS_CONNECTION,Tramway Nations – Grand-Saconnex,BHNS,__Entity__,__Entity__,130,136
281,21,HAS_DESTINATION,Tramway Nations – Grand-Saconnex,Cornavin,__Entity__,__Entity__,130,287
282,55,HAS_ALTERNATIVE,Tramway Nations – Grand-Saconnex,Voiture,__Entity__,__Entity__,130,129
283,56,PART_OF,Quartier Ferney-Genève Innovation,SPL Territoire d’Innovation,__Entity__,__Entity__,132,128
284,56,PART_OF,BHNS,Plan d'actions 2030-2035,__Entity__,__Entity__,136,1280
285,57,HAS_LINE,BHNS,60,__Entity__,__Entity__,136,137
286,54,HAS_CONNECTION,BHNS,Léman Express,__Entity__,__Entity__,136,1162
287,21,HAS_DESTINATION,BHNS,Gare de Sécheron,__Entity__,__Entity__,136,134
297,58,HAS_FASTER_ROUTE_TO,BHNS (ligne 60),Gare de Sécheron,__Entity__,__Entity__,139,134
298,58,HAS_FASTER_ROUTE_TO,BHNS (ligne 60),Léman Express,__Entity__,__Entity__,139,1162
299,59,HAS_CHARACTERISTIC,Tram de Ferney,P+R de plus d'une centaine de places,__Entity__,__Entity__,141,140
300,59,HAS_CHARACTERISTIC,Tram de Ferney,Cadence d'un tram toutes les 6 minutes aux heures de pointe,__Entity__,__Entity__,141,142
301,60,HAS_TERMINUS,Tram de Ferney,Carrefour du Bisou,__Entity__,__Entity__,141,131
302,53,HAS_STATION,Tram de Ferney,Ferney,__Entity__,__Entity__,141,112
303,61,IS_COMPLEMENTARY_TO,Tram de Ferney,BHNS (ligne 60),__Entity__,__Entity__,141,139
304,58,HAS_FASTER_ROUTE_TO,Tram de Ferney,Cornavin,__Entity__,__Entity__,141,287
335,62,HAS_ACCESS,Carrefour Commerce/Pasteur/Vétérans,Fermé,__Entity__,__Entity__,144,151
336,63,HAS_WORK,Carrefour Commerce/Pasteur/Vétérans,Pose du dallage,__Entity__,__Entity__,144,150
337,63,HAS_WORK,Carrefour Commerce/Pasteur/Vétérans,Enlèvement des chanfreins en enrobés,__Entity__,__Entity__,144,156
338,63,HAS_WORK,Avenue Jules Ferry,Piétonnisation,__Entity__,__Entity__,149,159
339,64,HAS_TRAFFIC_DIRECTION,Avenue Jules Ferry,Sens unique,__Entity__,__Entity__,149,173
340,65,RELATED_TO,Tram,Coupures d’eau rue Mme Fleutet,__Entity__,__Entity__,152,454
341,65,RELATED_TO,Tram,Modification de circulation du rond-point de l’Etoile,__Entity__,__Entity__,152,455
342,65,RELATED_TO,Tram,Coupures d’eau rue des Tournelles,__Entity__,__Entity__,152,456
343,65,RELATED_TO,Tram,Stationnements,__Entity__,__Entity__,152,457
344,65,RELATED_TO,Tram,Bassin de rétention rue des Tournelles,__Entity__,__Entity__,152,458
345,65,RELATED_TO,Tram,Coupures d’eau rue du Faucigny,__Entity__,__Entity__,152,459
346,65,RELATED_TO,Tram,Fluidification de la circulation vers Alsace-Lorraine,__Entity__,__Entity__,152,460
347,65,RELATED_TO,Tram,Avenue de la Gare et rue du Môle en double sens,__Entity__,__Entity__,152,461
348,63,HAS_WORK,Tram,Prolongement,__Entity__,__Entity__,152,167
349,66,WILL_RECEIVE,Tram,électricité,__Entity__,__Entity__,152,787
350,63,HAS_WORK,Rue René Blanc,Accès impossible,__Entity__,__Entity__,153,146
351,67,ACCESSIBLE_VIA,Rue René Blanc,Avenue Jules Ferry,__Entity__,__Entity__,153,149
352,67,ACCESSIBLE_VIA,Rue René Blanc,Rue du Faucigny,__Entity__,__Entity__,153,385
353,62,HAS_ACCESS,Rue des Vétérans,Entrée/sortie,__Entity__,__Entity__,154,145
354,68,HAS_EVENT,Rue des Vétérans,Intervention sur les bornes d’accès,__Entity__,__Entity__,154,379
355,68,HAS_EVENT,Rue des Vétérans,Accès bornes,__Entity__,__Entity__,154,381
356,68,HAS_EVENT,Rue des Vétérans,Travaux de piétonnisation,__Entity__,__Entity__,154,413
357,68,HAS_EVENT,Rue des Vétérans,travaux de réaménagement,__Entity__,__Entity__,154,1263
358,69,HAS_WATER_CUT,Rue des Vétérans,11 décembre,__Entity__,__Entity__,154,797
359,70,WORK_ON,Rue des Vétérans,Piétonnisation,__Entity__,__Entity__,154,159
360,70,WORK_ON,Rue des Vétérans,Travaux de réseau d’eau,__Entity__,__Entity__,154,1250
361,63,HAS_WORK,Réseau de chaleur,Extension,__Entity__,__Entity__,155,160
362,62,HAS_ACCESS,Place de l'Hôtel de Ville,Entrée/sortie,__Entity__,__Entity__,157,145
363,71,HAS_COST,Parking public,Prise en charge,__Entity__,__Entity__,161,172
364,68,HAS_EVENT,Ville,enlèvement des mobiliers mis à disposition,__Entity__,__Entity__,162,229
365,72,HAS_ACTION,Ville,Prise en charge du coût du stationnement,__Entity__,__Entity__,162,170
366,63,HAS_WORK,Rue Paul Bert,Accès impossible,__Entity__,__Entity__,163,146
367,62,HAS_ACCESS,Rue du Commerce,accès,__Entity__,__Entity__,164,208
368,68,HAS_EVENT,Rue du Commerce,Coupures d’électricité,__Entity__,__Entity__,164,373
369,63,HAS_WORK,Rue du Commerce,Pose des pavés,__Entity__,__Entity__,164,147
370,63,HAS_WORK,Rue du Commerce,travaux,__Entity__,__Entity__,164,211
371,73,HAS_WORK_PART,Rue du Commerce,Intérieur de la future fontaine,__Entity__,__Entity__,164,148
372,73,HAS_WORK_PART,Rue du Commerce,Voirie,__Entity__,__Entity__,164,158
373,73,HAS_WORK_PART,Rue du Commerce,Côté du Globe,__Entity__,__Entity__,164,166
374,70,WORK_ON,Rue du Commerce,Piétonnisation,__Entity__,__Entity__,164,159
375,70,WORK_ON,Rue du Commerce,Travaux pour l’extension du réseau de chaleur,__Entity__,__Entity__,164,1249
376,70,WORK_ON,Rue du Commerce,Travaux de réseaux,__Entity__,__Entity__,164,1251
377,62,HAS_ACCESS,Carrefour Pasteur/Commerce/Vétérans,Fermé,__Entity__,__Entity__,165,151
378,62,HAS_ACCESS,Taverne de Maître Kanter,Entrée/sortie,__Entity__,__Entity__,168,145
379,63,HAS_WORK,Centre-ville,Piétonnisation,__Entity__,__Entity__,169,159
380,56,PART_OF,Rue de la Gare,Rue des Vétérans,__Entity__,__Entity__,171,154
381,62,HAS_ACCESS,Rue de la Gare,Entrée/sortie,__Entity__,__Entity__,171,145
382,68,HAS_EVENT,Rue de la Gare,Coupures d’électricité,__Entity__,__Entity__,171,373
383,69,HAS_WATER_CUT,Rue de la Gare,05 décembre 2023,__Entity__,__Entity__,171,798
384,74,ACCESS_FROM,Rue de la Gare,Rue Albert Montfort,__Entity__,__Entity__,171,775
409,11,LOCATED_AT,regard,plateforme du tram,__Entity__,__Entity__,178,188
410,75,HAS_PURPOSE,regard,intervenir sur les réseaux souterrains,__Entity__,__Entity__,178,190
411,76,CAUSES,installation,circulation impossible,__Entity__,__Entity__,179,185
412,77,NEEDS,installation,équipements lourds,__Entity__,__Entity__,179,182
413,59,HAS_CHARACTERISTIC,réseaux,n’ont pas pu être dévoyés,__Entity__,__Entity__,181,193
414,59,HAS_CHARACTERISTIC,réseaux,situés,__Entity__,__Entity__,181,198
415,59,HAS_CHARACTERISTIC,réseaux,souterrains,__Entity__,__Entity__,181,199
416,11,LOCATED_AT,réseaux,plateforme du tram,__Entity__,__Entity__,181,188
417,78,HAS_TYPE,équipements lourds,camions,__Entity__,__Entity__,182,177
418,78,HAS_TYPE,équipements lourds,grue,__Entity__,__Entity__,182,191
419,56,PART_OF,rue René Blanc,rue Paul Bert,__Entity__,__Entity__,184,195
420,11,LOCATED_AT,circulation,rue,__Entity__,__Entity__,186,192
421,11,LOCATED_AT,circulation piétonne,parc Montessuit,__Entity__,__Entity__,187,176
422,11,LOCATED_AT,circulation piétonne,arrêt de tram,__Entity__,__Entity__,187,180
423,56,PART_OF,rue du Faucigny,rue René Blanc,__Entity__,__Entity__,189,184
424,18,CONNECTS,rue du Faucigny,rond-point de l’Etoile,__Entity__,__Entity__,189,841
425,18,CONNECTS,rue du Faucigny,avenue Jules Ferry,__Entity__,__Entity__,189,858
426,68,HAS_EVENT,rue du Faucigny,fermeture,__Entity__,__Entity__,189,824
427,68,HAS_EVENT,rue du Faucigny,changement de collecte,__Entity__,__Entity__,189,834
428,79,HAS_STATUS,rue du Faucigny,fermée à la circulation,__Entity__,__Entity__,189,851
429,80,HAS_START_POINT,rue du Faucigny,réseaux,__Entity__,__Entity__,189,181
430,81,ACCESSIBLE_FOR,rue du Faucigny,commerces,__Entity__,__Entity__,189,862
431,81,ACCESSIBLE_FOR,rue du Faucigny,riverains de l’impasse du Faucigny,__Entity__,__Entity__,189,1246
432,82,ACCESSIBLE_FROM,rue du Faucigny,parking Libération,__Entity__,__Entity__,189,763
433,11,LOCATED_AT,rue Paul Bert,av. Jules Ferry,__Entity__,__Entity__,195,196
434,63,HAS_WORK,rue Paul Bert,Travaux,__Entity__,__Entity__,195,76
435,75,HAS_PURPOSE,contact@tram-pietonnisation.fr,proposer une solution adaptée,__Entity__,__Entity__,197,183
436,75,HAS_PURPOSE,contact@tram-pietonnisation.fr,contacter,__Entity__,__Entity__,197,194
453,76,CAUSES,modification,suppression de l’accès au parking Montessuit/Hôtel de Ville depuis la rue de la Gare,__Entity__,__Entity__,205,206
454,37,HAS_START_DATE,modification,lundi 21 octobre,__Entity__,__Entity__,205,202
455,33,WORKS_FOR,Annemasse Agglo,service Eau et Assainissement d’Annemasse Agglo,__Entity__,__Entity__,207,427
456,33,WORKS_FOR,Annemasse Agglo,service de l’eau d’Annemasse Agglo,__Entity__,__Entity__,207,838
457,83,PERFORMS,Annemasse Agglo,travaux,__Entity__,__Entity__,207,211
458,83,PERFORMS,Annemasse Agglo,mise à double sens,__Entity__,__Entity__,207,216
459,84,HAS_DEPARTMENT,Annemasse Agglo,service d'eau,__Entity__,__Entity__,207,407
460,85,HAS_CONTACT_INFO,Annemasse Agglo,04.50.87.62.73,__Entity__,__Entity__,207,803
461,86,PROVIDES_SERVICE,Annemasse Agglo,Eau et Assainissement,__Entity__,__Entity__,207,810
462,86,PROVIDES_SERVICE,Annemasse Agglo,Service de l’Eau et de l’Assainissement,__Entity__,__Entity__,207,812
463,87,EXPRESSES_GRATITUDE,Annemasse Agglo,usagers,__Entity__,__Entity__,207,848
464,88,EXPRESSES_APOLOGY,Annemasse Agglo,usagers,__Entity__,__Entity__,207,848
465,79,HAS_STATUS,accès,impossible,__Entity__,__Entity__,208,212
466,76,CAUSES,travaux,nuisances sonores,__Entity__,__Entity__,211,209
467,37,HAS_START_DATE,travaux,29 juillet,__Entity__,__Entity__,211,228
468,89,HAS_END_DATE,travaux,début septembre,__Entity__,__Entity__,211,358
469,75,HAS_PURPOSE,travaux,améliorer la sécurité de circulation,__Entity__,__Entity__,211,204
470,90,HAS_DESCRIPTION,travaux,dévoiement des réseaux d’assainissement et d’eau potable en prévision de la future implantation définitive des PAV enterrés,__Entity__,__Entity__,211,363
471,79,HAS_STATUS,rue Camps,double sens,__Entity__,__Entity__,215,213
472,37,HAS_START_DATE,mise à double sens,21 octobre 2024,__Entity__,__Entity__,216,214
473,75,HAS_PURPOSE,mise à double sens,rejoindre le parking Montessuit/Hôtel de Ville depuis la rue de Genève,__Entity__,__Entity__,216,203
474,75,HAS_PURPOSE,mise à double sens,rejoindre le parking Montessuit/Hôtel de Ville depuis l’avenue Emile Zola,__Entity__,__Entity__,216,210
504,68,HAS_EVENT,avenue Pasteur,travaux,__Entity__,__Entity__,224,211
505,63,HAS_WORK,avenue Pasteur,Coupure d’eau,__Entity__,__Entity__,224,368
506,91,HAS_LOCATION,avenue Pasteur,au droit des PAV place Libération,__Entity__,__Entity__,224,230
507,91,HAS_LOCATION,avenue Pasteur,entre Commerce et René Blanc,__Entity__,__Entity__,224,232
508,68,HAS_EVENT,La Maison de l’eau,intervention de réhabilitation sans tranchées,__Entity__,__Entity__,227,359
509,37,HAS_START_DATE,enlèvement des mobiliers mis à disposition,23 septembre,__Entity__,__Entity__,229,233
510,92,HAS_START_TIME,enlèvement des mobiliers mis à disposition,matin,__Entity__,__Entity__,229,365
561,56,PART_OF,Genève,Ligne 15,__Entity__,__Entity__,236,296
562,56,PART_OF,Genève,région,__Entity__,__Entity__,236,1481
563,2,LOCATED_IN,Genève,Switzerland,__Entity__,__Entity__,236,958
564,11,LOCATED_AT,Genève,Nations,__Entity__,__Entity__,236,271
565,11,LOCATED_AT,Genève,Butini,__Entity__,__Entity__,236,608
566,11,LOCATED_AT,Genève,Collège Sismondi,__Entity__,__Entity__,236,743
567,11,LOCATED_AT,Genève,Maison de la Paix,__Entity__,__Entity__,236,878
568,53,HAS_STATION,Genève,"Genève, Nations",__Entity__,__Entity__,236,689
569,4,SERVED_BY,Genève,Ligne 15,__Entity__,__Entity__,236,296
570,4,SERVED_BY,Genève,Point de rebroussement,__Entity__,__Entity__,236,863
571,4,SERVED_BY,Genève,Ligne Lausanne – Genève,__Entity__,__Entity__,236,877
572,93,HAS_ROUTE,Genève,Nations,__Entity__,__Entity__,236,271
573,93,HAS_ROUTE,Genève,Genève-Cornavin,__Entity__,__Entity__,236,289
574,93,HAS_ROUTE,Genève,Palais des Nations,__Entity__,__Entity__,236,908
575,94,ON_LINE,Genève,Ligne 15,__Entity__,__Entity__,236,296
576,95,HAS_LATITUDE_AND_LONGITUDE,Genève,"46° 12′ 55″ N, 6° 07′ 24″ E",__Entity__,__Entity__,236,548
577,96,HAS_RELATION_WITH,Genève,Industrielle,__Entity__,__Entity__,236,714
578,97,IS_ON,Genève,Ligne 15,__Entity__,__Entity__,236,296
579,97,IS_ON,Genève,"Lignes 12, 17 et 18 vers « Thônex, Moillesulaz », « Annemasse, Parc Montessuit » et « Meyrin, CERN »",__Entity__,__Entity__,236,736
580,98,HAS_PLACE,Genève,Stand,__Entity__,__Entity__,236,547
581,98,HAS_PLACE,Genève,Plainpalais,__Entity__,__Entity__,236,589
582,98,HAS_PLACE,Genève,Cirque,__Entity__,__Entity__,236,600
583,98,HAS_PLACE,Genève,Butini,__Entity__,__Entity__,236,608
584,98,HAS_PLACE,Genève,Môle,__Entity__,__Entity__,236,611
585,98,HAS_PLACE,Genève,Uni-Mail,__Entity__,__Entity__,236,707
586,98,HAS_PLACE,Genève,Industrielle,__Entity__,__Entity__,236,714
587,98,HAS_PLACE,Genève,Goulart,__Entity__,__Entity__,236,715
588,98,HAS_PLACE,Genève,Acacias,__Entity__,__Entity__,236,716
589,98,HAS_PLACE,Genève,Mercier,__Entity__,__Entity__,236,721
590,98,HAS_PLACE,Genève,gare Cornavin,__Entity__,__Entity__,236,876
591,98,HAS_PLACE,Genève,Maison de la Paix,__Entity__,__Entity__,236,878
592,99,HAS_BORDOR,Genève,Indust,__Entity__,__Entity__,236,903
593,100,HAS_DISTRICT,Genève,Carouge,__Entity__,__Entity__,236,340
594,100,HAS_DISTRICT,Genève,Lancy,__Entity__,__Entity__,236,493
595,100,HAS_DISTRICT,Genève,Plan-les-Ouates,__Entity__,__Entity__,236,679
596,101,HAS_TRANSPORTATION,Genève,Tramway,__Entity__,__Entity__,236,539
597,102,CONNECTED_BY_LINE_15,Genève,Lancy-Pont-Rouge,__Entity__,__Entity__,236,241
598,102,CONNECTED_BY_LINE_15,Genève,Nations,__Entity__,__Entity__,236,271
599,102,CONNECTED_BY_LINE_15,Genève,Grand-Lancy,__Entity__,__Entity__,236,313
600,102,CONNECTED_BY_LINE_15,Genève,Palettes,__Entity__,__Entity__,236,594
601,103,CONNECTED_BY_LINE_12,Genève,Coutance,__Entity__,__Entity__,236,237
602,103,CONNECTED_BY_LINE_12,Genève,Nations,__Entity__,__Entity__,236,271
603,103,CONNECTED_BY_LINE_12,Genève,Poterie,__Entity__,__Entity__,236,300
604,103,CONNECTED_BY_LINE_12,Genève,Bouchet,__Entity__,__Entity__,236,301
605,103,CONNECTED_BY_LINE_12,Genève,Servette,__Entity__,__Entity__,236,305
606,103,CONNECTED_BY_LINE_12,Genève,Vailly,__Entity__,__Entity__,236,310
607,103,CONNECTED_BY_LINE_12,Genève,Bel-Air,__Entity__,__Entity__,236,315
608,103,CONNECTED_BY_LINE_12,Genève,Vieusseux,__Entity__,__Entity__,236,317
609,103,CONNECTED_BY_LINE_12,Genève,Lyon,__Entity__,__Entity__,236,323
610,103,CONNECTED_BY_LINE_12,Genève,Plainpalais,__Entity__,__Entity__,236,589
611,103,CONNECTED_BY_LINE_12,Genève,Marché,__Entity__,__Entity__,236,590
612,103,CONNECTED_BY_LINE_12,Genève,Armes,__Entity__,__Entity__,236,593
613,103,CONNECTED_BY_LINE_12,Genève,Augustins,__Entity__,__Entity__,236,595
614,103,CONNECTED_BY_LINE_12,Genève,Blanche,__Entity__,__Entity__,236,599
615,103,CONNECTED_BY_LINE_12,Genève,Pont-d'Arve,__Entity__,__Entity__,236,609
